Country Name,Country Code,Life Expectancy 2017,Health Expenditure 2017,GDP per Capita 2017,Total Population 2017,Poverty Headcount at 1.9,Education Expenditure 2017,Primary School Enrollment Ratio 2017,Gini Coefficient 2017,Physicians per 1000 - 2017
Jordan,JOR,74.292,8.11925125,-0.32848592,9785840,,11.19604969,80.77086639,,2.3237
Japan,JPN,84.0997561,10.79634285,1.842709058,126785797,,,97.71048737,,
Kazakhstan,KAZ,72.95,3.12588406,2.693432134,18037776,0,11.41991043,108.747757,27.5,
Kenya,KEN,65.909,4.8369956,2.364845917,50221146,,17.70870018,,,
Kyrgyz Republic,KGZ,71.2,6.18586302,2.734091891,6198200,1.1,16.27813911,107.0424271,27.3,
Cambodia,KHM,69.289,5.928473,5.218910465,16009413,,,107.8130569,,
Kiribati,KIR,67.851,10.77510738,-0.54382694,114153,,12.54887962,101.3046112,,
"Korea, Rep.",KOR,82.62682927,7.10694933,2.870196962,51361911,,,98.08860016,,2.3608
Kuwait,KWT,75.311,5.29526615,-7.04349989,4056102,,11.13780975,95.688797,,
Lao PDR,LAO,67.277,2.52514863,5.244751345,6953031,,,106.0174026,,0.3726
Lebanon,LBN,78.833,8.44765568,-0.7034905,6819373,,7.147540092,,,2.0255
Liberia,LBR,63.295,8.15604591,-0.04690024,4702224,,8.341939926,85.10919189,,
St. Lucia,LCA,75.907,4.7146244,2.958693855,180955,,14.09974003,102.0014038,,0.6409
Latin America & Caribbean,LCN,75.28208661,8.199652769,0.903433216,634566052,3.8,17.57729912,108.915802,,2.280682486
Sri Lanka,LKA,76.648,3.80975389,2.414098662,21444000,,14.49975967,100.6327133,,0.9277
Lesotho,LSO,52.947,8.94750309,-3.90564187,2091532,27.2,15.11530972,120.8974991,44.9,
Lithuania,LTU,75.4804878,6.47619867,5.751046557,2828403,1,11.76564026,103.8747482,37.3,4.8257
Luxembourg,LUX,82.09512195,5.25779152,-0.64374357,596336,0.3,8.474499702,102.2859497,34.5,3.009
Latvia,LVA,74.62926829,6.00696659,4.169810799,1942248,0.8,11.96763039,99.36784363,35.6,3.1905
Morocco,MAR,76.218,5.23623848,2.896264323,35581257,,5.116839886,112.4021606,,0.7308
Moldova,MDA,71.717,7.01328516,6.47716048,2755158,0.1,18.43283081,103.54245,25.9,3.2066
Madagascar,MDG,66.311,5.5050993,1.185088874,25570511,,15.83769989,,,
Maldives,MDV,78.325,9.02997589,2.698075318,496398,,11.35381031,97.10980225,,3.7228
Middle East & North Africa,MEA,73.89981806,6.232639426,-0.17386243,441298977,6.3,11.19604969,104.1342316,,1.323223833
Mexico,MEX,74.947,5.51889515,0.931456542,124777326,,17.57729912,105.7700119,,2.3827
North Macedonia,MKD,75.589,6.5939827,1.021084718,2081996,4.6,,97.12595367,34.2,
Mali,MLI,58.452,4.10388279,2.194028423,18512429,,16.53433037,80.17077637,,
Malta,MLT,82.34634146,9.19666958,5.198577394,467999,0.2,13.37271023,104.9983673,29.2,
Myanmar,MMR,66.558,5.09039927,5.732608559,53382521,1.4,9.927680016,112.2236481,30.7,0.8638
Mongolia,MNG,69.509,4.00506115,3.394225485,3113788,,12.64562035,102.9340897,,
Mozambique,MOZ,59.309,8.14048672,0.77534648,28649007,,18.36519051,107.8132477,,0.0761
Mauritania,MRT,64.464,4.50495195,0.620093216,4282582,,,96.65904236,,0.1847
Mauritius,MUS,74.51463415,5.71669579,3.720567648,1264613,0.2,20.35720062,101.525238,36.8,2.3147
Malawi,MWI,63.279,9.64243031,1.263570638,17670193,,14.34442043,145.4888763,,
Malaysia,MYS,75.828,3.71246052,4.383943957,31104655,,21.31582069,105.2916031,,
North America,NAC,78.87909246,16.5200186,1.684809322,361731296,,,101.7452469,,2.611818116
Namibia,NAM,63.021,8.28922272,-2.8636214,2402623,,24.6740303,124.1791687,,0.5914
Niger,NER,61.599,7.66223145,1.044573227,21602388,,13.21516037,74.73619843,,
Nigeria,NGA,53.95,3.75553846,-1.78881762,190873247,,6.120110035,,,
Nicaragua,NIC,74.068,8.31693268,3.30608032,6384843,,22.43330002,,,0.9895
Netherlands,NLD,81.76097561,10.05979824,2.304284733,17131296,0.2,12.42325974,104.2296219,28.5,3.6054
Norway,NOR,82.6097561,10.31589031,1.50014938,5276968,0.3,15.93850994,100.2602081,27,2.8342
Nepal,NPL,70.169,5.48825455,7.521029892,27632682,,17.09638977,143.9195404,,0.9101
New Zealand,NZL,81.65853659,9.01967621,1.471532859,4813600,,16.64263916,99.97476196,,3.4728
Oman,OMN,77.393,3.97352886,-3.66907843,4665926,,13.55008984,106.3646927,,1.9572
Pakistan,PAK,66.947,2.90229368,3.383928004,207906210,,14.54477978,90.58917236,,1.0005
Panama,PAN,78.149,6.89914465,3.799287265,4106764,2.5,8.681870461,94.38598633,49.9,
Peru,PER,76.286,4.99378443,0.829126309,31444299,3.4,18.23591995,103.5195694,43.3,
Philippines,PHL,70.952,4.4460597,5.396653106,105172921,,17.17048073,107.5097733,,0.6004
Papua New Guinea,PNG,64.01,2.27085471,1.494455652,8438038,,10.69820023,,,
Poland,POL,77.75365854,6.56172848,4.817572418,37974826,0.3,11.0591898,100.0158997,29.7,2.3788
Portugal,PRT,81.42439024,9.33004951,3.759094389,10300300,0.4,11.05543041,106.1831284,33.8,5.124
Paraguay,PRY,73.992,6.65456867,3.448948247,6867058,0.9,11.50658989,,48.5,0.2399
Qatar,QAT,79.981,2.72160077,-4.04077562,2724727,,8.560850143,103.2807388,,0.0008
Romania,ROU,75.3097561,5.1508317,7.941558658,19588715,3.1,10.05265045,85.15087128,36,2.9807
Russian Federation,RUS,72.45146341,5.34388065,1.709389916,144496739,0,13.46508026,102.5824585,37.2,
Rwanda,RWA,68.341,6.93017101,1.267473099,11980960,,11.07960987,137.6818085,,0.1371
Saudi Arabia,SAU,74.874,7.00368643,-2.71382745,33101183,,,99.45812225,,2.5366
Sudan,SDN,64.881,6.30497503,2.196702303,40813398,,,76.81606293,,0.2618
Senegal,SEN,67.38,4.06742668,4.441187863,15419354,,20.5892601,,,0.0691
Singapore,SGP,83.09512195,4.4177866,4.427820162,5612253,,,100.6269531,,
Solomon Islands,SLB,72.645,4.74138927,2.595508505,636030,,,112.6239014,,
Sierra Leone,SLE,53.895,16.6201725,1.990405877,7488427,,19.89410019,124.4762878,,
El Salvador,SLV,72.872,7.22756004,1.740354592,6388124,1.9,13.46452045,96.1506424,38,
Sub-Saharan Africa,SSF,60.8800163,5.124087975,0.027819086,1050162810,41.2,16.21059418,99.07193756,,0.215573738
Sao Tome and Principe,STP,69.933,6.46091604,1.910770169,207086,35.6,18.39999962,106.7915421,56.3,0.0531
Suriname,SUR,71.463,6.22976971,0.567009682,570501,,17.32357979,110.557518,,1.1849
Slovak Republic,SVK,77.16585366,6.76883841,2.829826153,5439232,,9.519089699,98.73204803,,3.4156
Slovenia,SVN,81.02926829,8.18941784,4.747106183,2066388,0,10.84708023,100.3967438,24.2,3.0861
Sweden,SWE,82.4097561,10.78592205,1.195147571,10057698,0.2,15.68610001,126.5753784,28.8,
